,BPM,headPos,headRotationY,timeStamp,x,y,z,head_positions
1585,1.0,"{'x': 0.35944199562072754, 'y': -0.015700701624155045, 'z': 0.2320655882358551}",306.72125244140625,112.35950469970703,0.35944199562072754,-0.015700701624155045,0.2320655882358551,"(0.35944199562072754, -0.015700701624155045, 0.2320655882358551, 26.594482421875)"
1586,1.0,"{'x': 0.3661538362503052, 'y': -0.023261038586497307, 'z': 0.23353248834609985}",308.88507080078125,112.42779350280762,0.3661538362503052,-0.023261038586497307,0.23353248834609985,"(0.3661538362503052, -0.023261038586497307, 0.23353248834609985, 26.662771224975586)"
1587,1.0,"{'x': 0.36870741844177246, 'y': -0.02832903154194355, 'z': 0.23770743608474731}",310.5787353515625,112.49333000183105,0.36870741844177246,-0.02832903154194355,0.23770743608474731,"(0.36870741844177246, -0.02832903154194355, 0.23770743608474731, 26.728307723999023)"
1588,1.0,"{'x': 0.37044215202331543, 'y': -0.03123410791158676, 'z': 0.24273350834846497}",312.8725280761719,112.55959129333496,0.37044215202331543,-0.03123410791158676,0.24273350834846497,"(0.37044215202331543, -0.03123410791158676, 0.24273350834846497, 26.79456901550293)"
1589,1.0,"{'x': 0.37160125374794006, 'y': -0.03378542885184288, 'z': 0.24604088068008423}",314.41009521484375,112.62639236450195,0.37160125374794006,-0.03378542885184288,0.24604088068008423,"(0.37160125374794006, -0.03378542885184288, 0.24604088068008423, 26.861370086669922)"
1590,1.0,"{'x': 0.36866289377212524, 'y': -0.037972547113895416, 'z': 0.24753645062446594}",312.88519287109375,112.72620964050293,0.36866289377212524,-0.037972547113895416,0.24753645062446594,"(0.36866289377212524, -0.037972547113895416, 0.24753645062446594, 26.9611873626709)"
1591,1.0,"{'x': 0.3599972724914551, 'y': -0.03412718325853348, 'z': 0.23983722925186157}",304.3277893066406,112.8258056640625,0.3599972724914551,-0.03412718325853348,0.23983722925186157,"(0.3599972724914551, -0.03412718325853348, 0.23983722925186157, 27.06078338623047)"
1592,1.0,"{'x': 0.34783393144607544, 'y': -0.02583644911646843, 'z': 0.21898141503334045}",287.05670166015625,112.90966796875,0.34783393144607544,-0.02583644911646843,0.21898141503334045,"(0.34783393144607544, -0.02583644911646843, 0.21898141503334045, 27.14464569091797)"
1593,1.0,"{'x': 0.3414033055305481, 'y': -0.021366558969020844, 'z': 0.2016139179468155}",276.828369140625,112.97602844238281,0.3414033055305481,-0.021366558969020844,0.2016139179468155,"(0.3414033055305481, -0.021366558969020844, 0.2016139179468155, 27.21100616455078)"
1594,1.0,"{'x': 0.33849307894706726, 'y': -0.021194085478782654, 'z': 0.19078947603702545}",271.87158203125,113.04260635375977,0.33849307894706726,-0.021194085478782654,0.19078947603702545,"(0.33849307894706726, -0.021194085478782654, 0.19078947603702545, 27.277584075927734)"
1595,1.0,"{'x': 0.33462923765182495, 'y': -0.02089923620223999, 'z': 0.18302124738693237}",268.8959045410156,113.10868072509766,0.33462923765182495,-0.02089923620223999,0.18302124738693237,"(0.33462923765182495, -0.02089923620223999, 0.18302124738693237, 27.343658447265625)"
1596,1.0,"{'x': 0.33162304759025574, 'y': -0.020220734179019928, 'z': 0.17495319247245789}",265.99365234375,113.1794204711914,0.33162304759025574,-0.020220734179019928,0.17495319247245789,"(0.33162304759025574, -0.020220734179019928, 0.17495319247245789, 27.414398193359375)"
1597,1.0,"{'x': 0.3286808133125305, 'y': -0.019673340022563934, 'z': 0.1676573008298874}",263.3729248046875,113.2419376373291,0.3286808133125305,-0.019673340022563934,0.1676573008298874,"(0.3286808133125305, -0.019673340022563934, 0.1676573008298874, 27.47691535949707)"
1598,1.0,"{'x': 0.32626819610595703, 'y': -0.01897849142551422, 'z': 0.1632460206747055}",262.4733581542969,113.30948829650879,0.32626819610595703,-0.01897849142551422,0.1632460206747055,"(0.32626819610595703, -0.01897849142551422, 0.1632460206747055, 27.544466018676758)"
1599,1.0,"{'x': 0.3243509531021118, 'y': -0.01812482625246048, 'z': 0.160925030708313}",262.36016845703125,113.37520599365234,0.3243509531021118,-0.01812482625246048,0.160925030708313,"(0.3243509531021118, -0.01812482625246048, 0.160925030708313, 27.610183715820312)"
1600,1.0,"{'x': 0.3232176899909973, 'y': -0.017673946917057037, 'z': 0.16007763147354126}",261.8436584472656,113.44166946411133,0.3232176899909973,-0.017673946917057037,0.16007763147354126,"(0.3232176899909973, -0.017673946917057037, 0.16007763147354126, 27.676647186279297)"
1601,1.0,"{'x': 0.3222515285015106, 'y': -0.01774904876947403, 'z': 0.1604328751564026}",261.51544189453125,113.50804138183594,0.3222515285015106,-0.01774904876947403,0.1604328751564026,"(0.3222515285015106, -0.01774904876947403, 0.1604328751564026, 27.743019104003906)"
